Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Dec 7, 2020",0 - 20000,0,0,0,5,0,"Casual,Indie,Simulation,Sports,Strategy"
"Oct 30, 2020",500000 - 1000000,13,0,0,2144,460,"Action,Free to Play,Indie,Strategy,Early Access"
"Aug 14, 2021",0 - 20000,0,0,0,0,0,Casual
"Aug 26, 2021",0 - 20000,0,0,0,5,3,Casual
"Oct 15, 2020",20000 - 50000,1,59,0,33,23,"Adventure,Indie"
"Oct 31, 2017",0 - 20000,0,0,0,1,1,"Action,Casual,Indie,Early Access"
"Oct 7, 2021",0 - 20000,0,0,0,4,0,"Adventure,Casual,RPG"
"Dec 1, 2021",0 - 20000,1,0,0,2,7,"Indie,Simulation,Early Access"
"Apr 12, 2018",200000 - 500000,0,0,0,302,113,"Action,Free to Play,Indie,Strategy"
"Aug 17, 2016",0 - 20000,0,0,0,2,9,"Utilities,Early Access"
"May 25, 2018",0 - 20000,0,0,0,10,3,"Casual,Indie,Strategy"
"Sep 1, 2021",0 - 20000,0,0,0,13,0,"Action,Indie,RPG,Early Access"
"May 1, 2021",0 - 0,0,0,0,0,0,"Adventure,Indie,RPG"
"Sep 27, 2019",0 - 20000,0,0,0,28,5,"Free to Play,Indie"
"Mar 18, 2021",0 - 20000,0,0,0,0,0,Casual
"May 4, 2020",0 - 20000,0,0,0,38,8,"Action,Simulation"
"May 12, 2020",0 - 20000,0,0,0,149,4,"Adventure,Free to Play,Indie"
"Sep 4, 2019",0 - 20000,0,0,0,28,14,"Free to Play,Indie"
"Mar 30, 2017",20000 - 50000,0,0,0,24,3,"Action,Indie"
"Oct 21, 2020",0 - 20000,0,0,0,3,0,Indie
"Jul 9, 2018",20000 - 50000,0,0,0,9,7,"Action,Adventure,Indie,Simulation"
"Oct 22, 2018",0 - 20000,8,0,0,0,0,"Indie,Early Access"
"May 1, 2020",0 - 20000,0,0,0,0,0,"Action,Indie"
"May 10, 2018",0 - 20000,0,0,0,12,23,"Adventure,Casual,Indie"
"Jan 31, 2019",50000 - 100000,0,0,0,147,67,"Adventure,Indie"
"Aug 22, 2016",0 - 20000,0,0,0,1,1,"Violent,Gore,Action,Adventure,Indie,Early Access"
"Oct 20, 2017",0 - 20000,0,0,0,32,4,"Adventure,Casual,Indie"
"Jan 11, 2012",50000 - 100000,1,65,0,219,49,Action
"Feb 6, 2013",20000 - 50000,0,62,0,122,150,"Casual,Indie,Simulation"
"Feb 12, 2015",0 - 20000,0,0,0,17,14,"Action,Indie"
"Mar 9, 2022",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Mar 10, 2020",0 - 20000,1,0,0,0,0,"Casual,Indie"
"Jun 8, 2017",0 - 20000,0,0,0,0,2,"Adventure,Early Access"
"Aug 31, 2016",0 - 20000,0,0,0,1,8,"Action,Adventure,Casual,Indie"
"Aug 8, 2018",0 - 20000,0,0,0,1,2,"Action,Indie"
"Aug 13, 2021",200000 - 500000,5,0,0,534,51,"Action,Indie,Early Access"
"Feb 9, 2021",0 - 20000,0,0,0,16,2,"Action,Adventure,Indie"
"Sep 6, 2019",0 - 20000,0,0,0,9,1,"Indie,Racing,Early Access"
"May 31, 2012",1000000 - 2000000,384,87,0,36158,6261,Action
"Feb 26, 2021",0 - 20000,0,0,0,4,14,"Casual,Indie,Simulation"
"Jun 18, 2019",20000 - 50000,4,0,0,241,8,"Action,Indie"
"Jul 31, 2020",0 - 20000,0,0,0,0,0,"Action,Adventure,Casual,Indie"
"Oct 10, 2018",20000 - 50000,0,0,0,86,31,"Casual,Indie"
"Jun 2, 2022",0 - 20000,10,0,0,91,2,"Action,Casual,Indie,Simulation,Early Access"
"Mar 24, 2022",0 - 20000,0,0,0,1,0,"Adventure,Indie,Strategy"
"Aug 6, 2019",0 - 20000,0,0,0,5,7,"Action,Indie,Massively Multiplayer,Early Access"
"May 4, 2015",0 - 20000,0,0,0,12,1,Indie
"Jul 10, 2018",0 - 20000,0,0,0,1,2,"Action,RPG,Simulation,Early Access"
"Mar 1, 2022",50000 - 100000,4,72,0,280,124,"Action,Adventure,Indie"
"Nov 4, 2019",0 - 20000,0,0,0,3,1,"Casual,Indie"
"Mar 31, 2022",0 - 0,0,0,0,0,0,"Action,Free to Play,Indie,Simulation,Sports,Early Access"
"Jan 30, 2019",0 - 20000,0,0,0,12,4,Simulation
"Aug 11, 2017",200000 - 500000,287,70,0,5078,1578,Strategy
"Oct 12, 2017",0 - 20000,0,0,0,2,2,"Education,Utilities"
"May 30, 2018",0 - 20000,0,0,0,7,5,"Adventure,Casual,Indie"
"Jan 21, 2022",0 - 0,0,0,0,0,0,
"Mar 10, 2022",0 - 20000,0,0,0,2,0,Adventure
"Sep 30, 2015",0 - 20000,0,0,0,8,9,"Adventure,Casual,Indie,Simulation"
